econ1,econ2,amount
241 Capital investments,241.00 Capital investments,688322923.5400002
241 Capital investments,241.10 Capital investments in perennial plantations,0.0
241 Capital investments,241.04 Capital investments in the construction of administrative buildings,0.0
241 Capital investments,241.06 Capital investments in the construction of gas main / pipes,0.0
241 Capital investments,241.01 Capital investments in the construction of housing,0.0
241 Capital investments,241.07 Capital investments in the construction of other facilities,0.0
241 Capital investments,241.03 Capital investments in the construction of social/culture facilities,0.0
241 Capital investments,241.05 Capital investments in the construction of utility facilities,0.0
243 Capital repair works,243.04 Capital refurbishment of administrative buildings,0.0
243 Capital repair works,243.01 Capital refurbishment of housing premises,0.0
243 Capital repair works,243.06 Capital refurbishment of other facilities,0.0
243 Capital repair works,243.02 Capital refurbishment of production facilities,0.0
243 Capital repair works,243.03 Capital refurbishment of social/culture facilities,0.0
243 Capital repair works,243.05 Capital refurbishment of transportation units,0.0
243 Capital repair works,243.00 Capital repair works,1154972010.4600005
291 Capital transfers to implement the externally-funded projects,291.00 Capital transfers to implement the externally-funded projects,2849434356.94
291 Capital transfers to implement the externally-funded projects,291.04 Contributions from other means,0.0
291 Capital transfers to implement the externally-funded projects,291.01 Share of Government and public authorities,0.0
291 Capital transfers to implement the externally-funded projects,291.02 Share of external grants,0.0
291 Capital transfers to implement the externally-funded projects,291.03 Share of external loans,0.0
291 Capital transfers to implement the externally-funded projects,291.05 Transfer of a share of a grant received by applicant to a partner abroad,0.0
271 Capital transfers within country,271.11 Capital transfers for erosion control and soil fertility recovery measures,0.0
271 Capital transfers within country,271.08 Capital transfers for geological surveying,0.0
271 Capital transfers within country,271.10 Capital transfers for land development,0.0
271 Capital transfers within country,271.14 Capital transfers for the land reform works,0.0
271 Capital transfers within country,"271.07 Capital transfers for topographic/geodesy, mapping and cadastre works",0.0
271 Capital transfers within country,271.09 Capital transfers for typical planning,0.0
271 Capital transfers within country,271.19 Capital transfers to purchase equipment and appliances,0.0
271 Capital transfers within country,271.18 Capital transfers to support animal husbandry,0.0
271 Capital transfers within country,271.13 Capital transfers to support fruit trees industry,0.0
271 Capital transfers within country,271.12 Capital transfers to support wine-growing,0.0
271 Capital transfers within country,271.00 Capital transfers within country,2343769132.55
271 Capital transfers within country,271.15 Other capital transfers within the country,0.0
271 Capital transfers within country,271.02 Transfers to state-owned companies,0.0
271 Capital transfers within country,271.05 Transfers to the roads service,0.0
191 Current transfers to implement the externally-funded projects,191.02 Contributions from external grants,0.0
191 Current transfers to implement the externally-funded projects,191.00 Current transfers to implement the externally-funded projects,7437610.290000001
114 Duty travels,114.00 Duty travels,152942545.39
114 Duty travels,114.03 Indemnities payable to diplomatic mission members and to special missions abroad,0.0
114 Duty travels,114.02 Travels abroad,0.0
114 Duty travels,114.01 Travels within the country,0.0
116 Employer's share of the mandatory health insurance premiums,116.00 Employer's share of the mandatory health insurance premiums,202782179.37999988
116 Employer's share of the mandatory health insurance premiums,116.02 Employer's share of the mandatory health insurance premiums payable abroad,0.0
116 Employer's share of the mandatory health insurance premiums,116.01 Employer's share of the mandatory health insurance premiums payable in the country,0.0
118 Enforceable documents,118.00 Enforceable documents,65152078.97000001
251 Establishment of state reserves,251.00 Establishment of state reserves,31802663.0
112 Mandatory state social insurance premiums,112.00 Mandatory state social insurance premiums,1252129071.6000009
611 Net lending,611.00 Net lending,-101959035.35000001
611 Net lending,611.01 Net lending to another-tier budgets,0.0
611 Net lending,611.03 Net lending to financial facilities,0.0
611 Net lending,611.02 Net lending to non-financial facilities,0.0
611 Net lending,611.04 Net lending to other facilities,0.0
611 Net lending,611.05 Net lending to service government bonds,0.0
611 Net lending,611.09 Repurchase of non-financial assets,0.0
611 Net lending,611.06 Returns to the state budget,0.0
113 Payment for goods and services,113.06 Books and periodicals,0.0
113 Payment for goods and services,113.47 Commission fees for banking services,0.0
113 Payment for goods and services,113.39 Compensation for accommodation costs,0.0
113 Payment for goods and services,113.38 Compensation for transport costs,0.0
113 Payment for goods and services,113.29 Cross-department security,0.0
113 Payment for goods and services,113.17 Current refurbishment of premises and buildings,0.0
113 Payment for goods and services,113.18 Current repair of equipment and inventory,0.0
113 Payment for goods and services,113.24 Departmental periodicals,0.0
113 Payment for goods and services,113.10 Drugs and consumables,0.0
113 Payment for goods and services,113.46 Educational services to fulfill state staff training orders,0.0
113 Payment for goods and services,113.28 Fines,0.0
113 Payment for goods and services,113.15 Fodder,0.0
113 Payment for goods and services,113.26 Fuel,0.0
