admin1,admin2,admin3,admin4,admin5,admin6,amount
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,"064 Academies, universities and other university-level higher education facilities",6495200.0
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,831 Actions taken towards preparing and editing of Moldova's Encyclopedia,5268700.0
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,839 Basic and applied research in mathematics,0.0
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,010 Central apparatus (office) of ministries and other administrative authorities,12087200.0
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,220 Centralized allocations,13582000.0
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,"840 Developing competitiveness and sustainable economic growth in the context of a knowledge-based economy, globalization and regional and European integration",1100000.0
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,240 Doctoral degree,3226100.0
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,829 Expert review of research/development papers,1135900.0
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,819 Individual topics and projects for young researchers,3000000.0
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,817 Institutional research,207314900.0
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,244 Master's degree,540700.0
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,241 Postgraduate degree,2757700.0
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,828 Research and innovation development coordination services,7453400.0
