func1,func2,amount
"11 Agriculture, forestry, fishery and water service",11.10 Administrative authorities,33774800.0
"11 Agriculture, forestry, fishery and water service",11.01 Agriculture,714615300.0
"11 Agriculture, forestry, fishery and water service","11.05 Agriculture, forestry, fishery and water services and activities unattributable to any other group",751383100.0
"11 Agriculture, forestry, fishery and water service",11.02 Forestry,10114600.0
"11 Agriculture, forestry, fishery and water service",11.04 Water service,13072500.0
"08 Culture, arts, sports and youth activities",08.10 Administrative authorities,30022800.0
"08 Culture, arts, sports and youth activities",08.02 Cultural events,523336726.0
"08 Culture, arts, sports and youth activities","08.06 Culture, arts and sports activities and facilities unattributable to any other group",42393773.0
"08 Culture, arts, sports and youth activities",08.04 Periodicals and written media,8717300.0
"08 Culture, arts, sports and youth activities",08.05 Sports,230758111.0
"08 Culture, arts, sports and youth activities",08.03 TV and radio broadcasting,97775200.0
"08 Culture, arts, sports and youth activities",08.07 Youth activities,24312500.0
06 Education,06.10 Administrative authorities,48727200.0
06 Education,06.07 Education activities and facilities unattributable to any other group,523202629.0
06 Education,06.04 Higher education,596213400.0
06 Education,06.05 Postgraduate education,64308200.0
06 Education,06.01 Preschool education,1708594034.0
06 Education,06.02 Primary education,93618280.0
06 Education,06.03 Secondary education,3781827328.0
06 Education,06.08 Secondary vocational education,415275100.0
06 Education,06.06 Staff training and retraining courses,17429400.0
05 Enforcement of public order and national security,05.02 Carabineer troops,87911700.0
05 Enforcement of public order and national security,05.06 Civil protection and emergency situations,190466400.0
05 Enforcement of public order and national security,05.01 Internal affairs authorities,798684000.0
05 Enforcement of public order and national security,05.04 National security authorities,403106600.0
05 Enforcement of public order and national security,05.03 Penitentiaries,328230300.0
05 Enforcement of public order and national security,05.09 Public order enforcement and national security services and authorities unattributable to any other group,53611800.0
12 Environment protection and hydrometeorology,12.10 Administrative authorities,8772200.0
12 Environment protection and hydrometeorology,12.01 Environment Protection,332484200.0
12 Environment protection and hydrometeorology,12.05 Environment protection and hydrometeorology activities unattributable to any other group,37773100.0
12 Environment protection and hydrometeorology,12.03 Hydrometeorology,17248900.0
02 Foreign relations,02.10 Administrative authorities,21252300.0
02 Foreign relations,02.04 Diplomatic missions,199979500.0
02 Foreign relations,02.01 International cooperation,49312000.0
16 Fuel and energy,16.04 Fuel and power services and activities unattributable to any other group,220122200.0
16 Fuel and energy,16.01 Natural gas installations/networks,148842996.0
16 Fuel and energy,16.02 Power installations/networks,58500000.0
01 General purpose state services,01.10 Administrative authorities,145856600.0
01 General purpose state services,01.02 Executive authorities,725848230.0
01 General purpose state services,"01.03 Financial, budget/taxation and control services",684774600.0
01 General purpose state services,01.08 General purpose authorities and services not attributable to any other group,124969000.0
01 General purpose state services,01.01 Legislative authorities,104152800.0
01 General purpose state services,01.04 Planning and statistics services,57377000.0
09 Healthcare,09.10 Administrative authorities,11139700.0
09 Healthcare,09.05 Health care services and facilities unattributable to any other group,415890543.0
09 Healthcare,09.01 Hospitals,150000.0
09 Healthcare,09.07 Mandatory health insurance linked services,4319300000.0
09 Healthcare,09.06 National health programs,163527700.0
09 Healthcare,09.02 Outpatient clinics and primary health care centers,2686900.0
