econ1,econ2,amount
Capital investments,Capital investments,482259235.0
Capital investments,Capital investments in perennial plantations,0.0
Capital investments,Capital investments in the construction of administrative buildings,0.0
Capital investments,Capital investments in the construction of gas main / pipes,0.0
Capital investments,Capital investments in the construction of housing,0.0
Capital investments,Capital investments in the construction of other facilities,0.0
Capital investments,Capital investments in the construction of social/culture facilities,0.0
Capital investments,Capital investments in the construction of utility facilities,0.0
Capital repair works,Capital refurbishment of administrative buildings,0.0
Capital repair works,Capital refurbishment of housing premises,0.0
Capital repair works,Capital refurbishment of other facilities,0.0
Capital repair works,Capital refurbishment of production facilities,0.0
Capital repair works,Capital refurbishment of social/culture facilities,0.0
Capital repair works,Capital refurbishment of transportation units,0.0
Capital repair works,Capital repair works,655363913.0
Capital transfers to implement the externally-funded projects,Capital transfers to implement the externally-funded projects,2474678600.0
Capital transfers to implement the externally-funded projects,Contributions from other means,0.0
Capital transfers to implement the externally-funded projects,Share of Government and public authorities,0.0
Capital transfers to implement the externally-funded projects,Share of external grants,0.0
Capital transfers to implement the externally-funded projects,Share of external loans,0.0
Capital transfers to implement the externally-funded projects,Transfer of a share of a grant received by applicant to a partner abroad,0.0
Capital transfers within country,Capital transfers for erosion control and soil fertility recovery measures,0.0
Capital transfers within country,Capital transfers for geological surveying,0.0
Capital transfers within country,Capital transfers for land development,0.0
Capital transfers within country,Capital transfers for the land reform works,0.0
Capital transfers within country,"Capital transfers for topographic/geodesy, mapping and cadastre works",0.0
Capital transfers within country,Capital transfers for typical planning,0.0
Capital transfers within country,Capital transfers to purchase equipment and appliances,0.0
Capital transfers within country,Capital transfers to support animal husbandry,0.0
Capital transfers within country,Capital transfers to support fruit trees industry,0.0
Capital transfers within country,Capital transfers to support wine-growing,0.0
Capital transfers within country,Capital transfers within country,1990430500.0
Capital transfers within country,Other capital transfers within the country,0.0
Capital transfers within country,Transfers to state-owned companies,0.0
Capital transfers within country,Transfers to the roads service,0.0
Current transfers to implement the externally-funded projects,Contributions from external grants,0.0
Current transfers to implement the externally-funded projects,Current transfers to implement the externally-funded projects,0.0
Duty travels,Duty travels,145217880.0
Duty travels,Indemnities payable to diplomatic mission members and to special missions abroad,0.0
Duty travels,Travels abroad,0.0
Duty travels,Travels within the country,0.0
Employer's share of the mandatory health insurance premiums,Employer's share of the mandatory health insurance premiums,205036288.0
Employer's share of the mandatory health insurance premiums,Employer's share of the mandatory health insurance premiums payable abroad,0.0
Employer's share of the mandatory health insurance premiums,Employer's share of the mandatory health insurance premiums payable in the country,0.0
Enforceable documents,Enforceable documents,21008394.0
Establishment of state reserves,Establishment of state reserves,30914000.0
Mandatory state social insurance premiums,Mandatory state social insurance premiums,1279624138.0
Net lending,Net lending,-83646700.0
Net lending,Net lending to another-tier budgets,0.0
Net lending,Net lending to financial facilities,0.0
Net lending,Net lending to non-financial facilities,0.0
Net lending,Net lending to other facilities,0.0
Net lending,Net lending to service government bonds,0.0
Net lending,Repurchase of non-financial assets,0.0
Net lending,Returns to the state budget,0.0
Payment for goods and services,Books and periodicals,0.0
Payment for goods and services,Commission fees for banking services,0.0
