admin1,admin2,admin3,admin4,admin5,admin6,amount
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,"064 Academies, universities and other university-level higher education facilities",6495200.0
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,831 Actions taken towards preparing and editing of Moldova's Encyclopedia,0.0
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,839 Basic and applied research in mathematics,355000.0
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,010 Central apparatus (office) of ministries and other administrative authorities,9990507.319999998
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,220 Centralized allocations,14562416.67
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,"840 Developing competitiveness and sustainable economic growth in the context of a knowledge-based economy, globalization and regional and European integration",500000.0
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,240 Doctoral degree,2964000.0
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,829 Expert review of research/development papers,0.0
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,819 Individual topics and projects for young researchers,1305000.0
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,817 Institutional research,45960000.0
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,244 Master's degree,540000.0
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,241 Postgraduate degree,2511200.0
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,828 Research and innovation development coordination services,4918571.51
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,826 Research ensuring facilities,5097785.260000001
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,"827 Systems for use of renewable energy, mechatronic devices, industrial and satellite technologies",250000.0
Central Central,157 Academy of Sciences of Moldova,0157 Academy of Sciences of Moldova,0000 UNCATEGORIZED AT THIS LEVEL,0000 UNCATEGORIZED AT THIS LEVEL,824 Technology transfer topics and projects awarded on a competitive basis,0.0
