admin2,admin3,admin4,admin5,admin6,amount
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,"Academies, universities and other university-level higher education facilities",6495200.0
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,Actions taken towards preparing and editing of Moldova's Encyclopedia,0.0
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,Basic and applied research in mathematics,355000.0
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,Central apparatus (office) of ministries and other administrative authorities,9990507.319999998
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,Centralized allocations,14562416.67
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,"Developing competitiveness and sustainable economic growth in the context of a knowledge-based economy, globalization and regional and European integration",500000.0
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,Doctoral degree,2964000.0
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,Expert review of research/development papers,0.0
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,Individual topics and projects for young researchers,1305000.0
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,Institutional research,45960000.0
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,Master's degree,540000.0
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,Postgraduate degree,2511200.0
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,Research and innovation development coordination services,4918571.51
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,Research ensuring facilities,5097785.260000001
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,"Systems for use of renewable energy, mechatronic devices, industrial and satellite technologies",250000.0
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,Technology transfer topics and projects awarded on a competitive basis,0.0
Academy of Sciences of Moldova,Academy of Sciences of Moldova,NO VALUE,NO DATA,Topics and projects carried out based on international technical/research programs,1772700.0
Academy of Sciences of Moldova,Andrew Lupan Central Scientific Library of the Academy of Sciences of Moldova,NO VALUE,NO DATA,Research ensuring facilities,6288085.519999999
Academy of Sciences of Moldova,Botanical Garden Institute of the Academy of Sciences of Moldova,NO VALUE,NO DATA,Individual topics and projects for young researchers,169988.0
Academy of Sciences of Moldova,Botanical Garden Institute of the Academy of Sciences of Moldova,NO VALUE,NO DATA,Institutional research,8948469.27
Academy of Sciences of Moldova,Botanical Garden Institute of the Academy of Sciences of Moldova,NO VALUE,NO DATA,Technology transfer topics and projects awarded on a competitive basis,369999.2
Academy of Sciences of Moldova,Botanical Garden Institute of the Academy of Sciences of Moldova,NO VALUE,NO DATA,Topics and projects carried out based on international technical/research programs,100000.0
Academy of Sciences of Moldova,Expertize Advisory Council public institution,NO VALUE,NO DATA,Expert review of research/development papers,1022212.08
Academy of Sciences of Moldova,Fundamental and applicative research financing center,NO VALUE,NO DATA,Research and innovation development coordination services,489033.0800000001
Academy of Sciences of Moldova,"Genetics, Physiology, and Plants Protection Public Institution of the Academy of Sciences",NO VALUE,NO DATA,Institutional research,23640962.46
Academy of Sciences of Moldova,"Genetics, Physiology, and Plants Protection Public Institution of the Academy of Sciences",NO VALUE,NO DATA,Technology transfer topics and projects awarded on a competitive basis,219787.91
Academy of Sciences of Moldova,"Genetics, Physiology, and Plants Protection Public Institution of the Academy of Sciences",NO VALUE,NO DATA,Topics and projects carried out based on international technical/research programs,602405.42
Academy of Sciences of Moldova,Heritage Institute,NO VALUE,NO DATA,Centralized allocations,19992.0
Academy of Sciences of Moldova,Heritage Institute,NO VALUE,NO DATA,Institutional research,6344156.83
Academy of Sciences of Moldova,Institute for European Integration and Political Science,NO VALUE,NO DATA,Centralized allocations,37450.0
Academy of Sciences of Moldova,Institute for European Integration and Political Science,NO VALUE,NO DATA,Institutional research,4602508.74
Academy of Sciences of Moldova,Institute of Applied Physics,NO VALUE,NO DATA,Individual topics and projects for young researchers,94719.33
Academy of Sciences of Moldova,Institute of Applied Physics,NO VALUE,NO DATA,Institutional research,14250105.93
Academy of Sciences of Moldova,Institute of Applied Physics,NO VALUE,NO DATA,Topics and projects carried out based on international technical/research programs,1064090.1600000001
Academy of Sciences of Moldova,Institute of Chemistry,NO VALUE,NO DATA,Individual topics and projects for young researchers,169744.0
Academy of Sciences of Moldova,Institute of Chemistry,NO VALUE,NO DATA,Institutional research,10705651.54
