func1,func2,amount
"11 Agriculture, forestry, fishery and water service",11.10 Administrative authorities,33862978.439999975
"11 Agriculture, forestry, fishery and water service",11.01 Agriculture,719549322.2400013
"11 Agriculture, forestry, fishery and water service","11.05 Agriculture, forestry, fishery and water services and activities unattributable to any other group",607700467.87
"11 Agriculture, forestry, fishery and water service",11.02 Forestry,11984108.32
"11 Agriculture, forestry, fishery and water service",11.04 Water service,13200980.0
"08 Culture, arts, sports and youth activities",08.10 Administrative authorities,30512745.39000001
"08 Culture, arts, sports and youth activities",08.02 Cultural events,548020089.8500005
"08 Culture, arts, sports and youth activities","08.06 Culture, arts and sports activities and facilities unattributable to any other group",53399293.01999998
"08 Culture, arts, sports and youth activities",08.04 Periodicals and written media,8933546.57
"08 Culture, arts, sports and youth activities",08.05 Sports,255838423.55999973
"08 Culture, arts, sports and youth activities",08.03 TV and radio broadcasting,98013027.64999999
"08 Culture, arts, sports and youth activities",08.07 Youth activities,25433640.529999994
06 Education,06.10 Administrative authorities,50592376.999999985
06 Education,06.07 Education activities and facilities unattributable to any other group,458310415.7600007
06 Education,06.04 Higher education,642353628.5799999
06 Education,06.05 Postgraduate education,64134772.85
06 Education,06.01 Preschool education,1680545672.190014
06 Education,06.02 Primary education,106611823.98
06 Education,06.03 Secondary education,3632688935.3300705
06 Education,06.08 Secondary vocational education,411913474.91999966
06 Education,06.06 Staff training and retraining courses,16887444.03
05 Enforcement of public order and national security,05.02 Carabineer troops,74145099.94
05 Enforcement of public order and national security,05.06 Civil protection and emergency situations,167914058.55000007
05 Enforcement of public order and national security,05.01 Internal affairs authorities,813521582.1899996
05 Enforcement of public order and national security,05.04 National security authorities,408873314.9500001
05 Enforcement of public order and national security,05.03 Penitentiaries,331052631.6
05 Enforcement of public order and national security,05.09 Public order enforcement and national security services and authorities unattributable to any other group,58378691.12000003
12 Environment protection and hydrometeorology,12.10 Administrative authorities,8997644.71
12 Environment protection and hydrometeorology,12.01 Environment Protection,316192675.6699998
12 Environment protection and hydrometeorology,12.05 Environment protection and hydrometeorology activities unattributable to any other group,48278484.38
12 Environment protection and hydrometeorology,12.03 Hydrometeorology,17264281.43
02 Foreign relations,02.10 Administrative authorities,24583244.750000004
02 Foreign relations,02.04 Diplomatic missions,198964951.36000004
02 Foreign relations,02.01 International cooperation,49311999.5
16 Fuel and energy,16.04 Fuel and power services and activities unattributable to any other group,213760801.80000004
16 Fuel and energy,16.01 Natural gas installations/networks,38457888.83999999
16 Fuel and energy,16.02 Power installations/networks,387482.79
01 General purpose state services,01.10 Administrative authorities,148073616.06999993
01 General purpose state services,01.02 Executive authorities,810500868.8799998
01 General purpose state services,"01.03 Financial, budget/taxation and control services",735447126.2599975
01 General purpose state services,01.08 General purpose authorities and services not attributable to any other group,121898090.96999994
01 General purpose state services,01.01 Legislative authorities,214139949.81
01 General purpose state services,01.04 Planning and statistics services,53873062.36999995
09 Healthcare,09.10 Administrative authorities,12735288.170000006
09 Healthcare,09.05 Health care services and facilities unattributable to any other group,542733238.0000002
09 Healthcare,09.01 Hospitals,966729.56
09 Healthcare,09.07 Mandatory health insurance linked services,4226100000.0
09 Healthcare,09.06 National health programs,132500178.15000002
09 Healthcare,09.02 Outpatient clinics and primary health care centers,4846071.2
09 Healthcare,09.03 Preventive medicine and prevention services and facilities,308208939.66
13 Industry and construction,13.10 Administrative authorities,30978060.38000001
13 Industry and construction,13.05 Industry and construction services and activities unattributable to any other group,24043164.249999996
13 Industry and construction,13.01 Mining industry,2999999.0
04 Justice,04.10 Administrative authorities,40053260.36
04 Justice,04.04 Attorney General's office,124564584.05999996
04 Justice,04.01 Constitutional jurisdiction authorities,9059321.21
04 Justice,04.03 Courts,235127953.5599998
04 Justice,04.06 Justice authorities unattributable to any other group,149977723.47
04 Justice,04.08 Probation,24265781.500000004
03 National defense,03.01 National army,336178043.8299997
23 Net lending,23.01 Lending to another-tier budgets,690000000.0
23 Net lending,23.00 Net lending,4200000.0
