econ2,label
111.00,Remuneration of work
112.00,Mandatory state social insurance premiums
113.00,Payment for goods and services
113.01,Power (electricity)
113.02,Natural gases
113.03,"Office supplies, utensils and household goods"
113.04,Heating
113.05,"Manuals, teaching aids/materials, teaching and specialty internships for pupils and students, methodological and technical/research literature"
113.06,Books and periodicals
113.07,Special equipment and gear/inventory
113.09,Nutrition/food
113.10,Drugs and consumables
113.11,Telecommunication and mail services
113.12,Research papers
113.13,Transportation services
113.14,Soft inventory and equipment
113.15,Fodder
113.16,Research and innovation services contracted out by self-finance facilities
113.17,Current refurbishment of premises and buildings
113.18,Current repair of equipment and inventory
113.19,Rent-out of goods
113.20,"Use of government and local insignia/symbols, state distinction signs"
113.21,Trainings
113.22,Printing services
113.23,Representation costs
113.24,Departmental periodicals
113.26,Fuel
113.27,Purchase and installation of meters
113.28,Fines
113.29,Cross-department security
113.30,IT and PC works
113.31,Legal / attorney services
113.32,Milk formula for infants
113.33,Prosthetics
113.34,Water supply and sewer
113.35,Hygiene
113.37,Rent of circuits and transmitters
113.38,Compensation for transport costs
113.39,Compensation for accommodation costs
113.40,Referrals to spa therapy facilities
113.45,Goods and services unattributable to any other items
113.46,Educational services to fulfill state staff training orders
113.47,Commission fees for banking services
113.48,Healthcare services paid abroad
114.00,Duty travels
114.01,Travels within the country
114.02,Travels abroad
114.03,Indemnities payable to diplomatic mission members and to special missions abroad
116.00,Employer's share of the mandatory health insurance premiums
116.01,Employer's share of the mandatory health insurance premiums payable in the country
116.02,Employer's share of the mandatory health insurance premiums payable abroad
117.00,Mandatory health insurance premiums payable by the Government
117.01,Compulsory health insurance contributions for unemployed
118.00,Enforceable documents
118.01,Awarded amount according to enforceable documents
118.02,Moral damage according to enforceable documents
118.03,Court costs
121.00,Payment of interest on internal loans
121.03,Payment of interest on government securities loans
121.04,Payment of interest on commercial bank loans
121.05,Payment of interest on other loans
121.06,Payment of interest on the converted government securities loans
121.09,Payment of interest on loans in the form of state securities issued to ensure financial stability
122.00,Payment of interest on external loans
123.00,Payment of interest by another-tier public administration authorities
