year,admin1,admin2,admin3,admin4,admin5,admin6,func1,func2,econ1,econ2,fin_source,exp_type,transfer,approved,adjusted,executed
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,111 Remuneration of work,111.00 Remuneration of work,Base component,Personnel,Excluding transfers,29005600,28785600,28628778
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,112 Mandatory state social insurance premiums,112.00 Mandatory state social insurance premiums,Base component,Personnel,Excluding transfers,5553100,5773100,5760683
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,"113.03 Office supplies, utensils and household goods",Base component,Non-personnel recurrent,Excluding transfers,1296900,1256200,647897.75
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,"113.03 Office supplies, utensils and household goods",Special means,Non-personnel recurrent,Excluding transfers,15000,15000,0
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.06 Books and periodicals,Base component,Non-personnel recurrent,Excluding transfers,131500,137500,114914.3
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.10 Drugs and consumables,Base component,Non-personnel recurrent,Excluding transfers,4400,4400,0
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.11 Telecommunication and mail services,Base component,Non-personnel recurrent,Excluding transfers,1008000,1008000,716541.81
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.13 Transportation services,Base component,Non-personnel recurrent,Excluding transfers,126000,126000,0
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.18 Current repair of equipment and inventory,Base component,Non-personnel recurrent,Excluding transfers,253000,233000,23413.16
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,"113.20 Use of government and local insignia/symbols, state distinction signs",Base component,Non-personnel recurrent,Excluding transfers,106900,93600,1640
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.22 Printing services,Base component,Non-personnel recurrent,Excluding transfers,116100,116100,52014.08
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.23 Representation costs,Base component,Non-personnel recurrent,Excluding transfers,1543000,1543000,737563.31
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.30 IT and PC works,Base component,Non-personnel recurrent,Excluding transfers,156000,156000,39147.39
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.30 IT and PC works,Special means,Non-personnel recurrent,Excluding transfers,0,397500,397457
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.38 Compensation for transport costs,Base component,Non-personnel recurrent,Excluding transfers,430500,430500,156453
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.39 Compensation for accommodation costs,Base component,Non-personnel recurrent,Excluding transfers,540000,540000,278862
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.45 Goods and services unattributable to any other items,Base component,Non-personnel recurrent,Excluding transfers,30000,30000,22516.2
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,114 Duty travels,114.02 Travels abroad,Base component,Non-personnel recurrent,Excluding transfers,2255800,2255800,1446840.38
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,116 Employer's share of the mandatory health insurance premiums,116.01 Employer's share of the mandatory health insurance premiums payable in the country,Base component,Personnel,Excluding transfers,845000,845000,844918.88
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,135 Transfers to population,135.11 Support for people affected by natural disasters,Base component,Non-personnel recurrent,Excluding transfers,0,114000,114000
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,135 Transfers to population,135.20 One-off financial aids granted to population by the central public authorities,Base component,Non-personnel recurrent,Excluding transfers,100000,150000,140162
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,135 Transfers to population,135.25 Other transfers made to population,Base component,Non-personnel recurrent,Excluding transfers,1360500,1196500,741210
